parameter_name,display_name_zh,display_name_en,category_zh,data_type,allowed_values,allowed_values_zh,default_value,default_value_zh,ui_control_type,readiness_status,lock_status,warning_level,assumption_burden_score,source_basis,sponsor_confirmation_needed,downstream_engine_field,user_tooltip_zh,technical_note_en,mode
missing_death_rule,缺失/死亡处理,Missing/death rule,缺失数据,enum,death6_conservative_nonresponder|observed_available_case|locf_like|multiple_imputation|tipping_point,死亡mRS6+缺失未应答、可用病例、类LOCF、多重填补、临界点,death6_conservative_nonresponder,死亡mRS6；其余缺失按未应答,select,ready_with_warning,editable,high,4,Step16W/X,yes,missing_death.sensitivity_rule,死亡和缺失规则均需最终SAP确认。,Planning assumption,basic
random_seed,随机种子,Random seed,模拟,integer,1-2147483647,1至2147483647,20260715,20260715,number,ready,editable,none,1,Reproducibility,no,simulation.random_seed,固定随机种子以便复现情景结果。,Reproducibility field,advanced
mc_se_threshold,蒙特卡洛标准误阈值,MC SE threshold,质量控制,number,0.001-0.02,0.001至0.02,0.01,0.01,number,ready,editable,medium,2,Simulation QC,no,simulation.mc_se_threshold,超过阈值时提示增加模拟次数。,QC threshold,advanced
borrowing_weight_2022,2022年II期历史借用权重,Phase2_2022 borrowing weight,历史证据,number,0,仅0%,0,0%（锁定）,readonly,not_ready,locked,critical,5,Step17C,yes,effect.borrowing_weight_2022,2022研究仅可作为桥接一致性证据，当前不支持正式借用。,Locked at zero,locked
death_mrs6_formal_rule,死亡按mRS=6的正式规则,Death=mRS6 formal rule,缺失数据,boolean,true|false,是、否,True,是（警示）,toggle,warning,warning_locked,high,4,Analyst planning rule,yes,missing_death.death_before_day90_rule,符合常见卒中逻辑，但仍需最终SAP确认。,Not SAP confirmed,locked
unresolved_mrs_missing_rule,未解决mRS缺失规则,Unresolved mRS missing rule,缺失数据,enum,nonresponder|locf_like|mi,未应答、类LOCF、多重填补,nonresponder,未应答（警示）,readonly,warning,warning_locked,high,4,Step16W/17,yes,missing_death.unresolved_mrs_missing_rule,保守未应答假设需最终SAP及敏感性分析支持。,Not SAP confirmed,locked
interim_alpha_spending,中期分析α消耗,Interim alpha spending,中期分析,string,unspecified,未指定,unspecified,未指定（锁定）,readonly,not_ready,locked,critical,5,BZP2607 XXX,yes,success_criterion.multiplicity_strategy,中期分析参数尚未明确，不能自动配置。,Draft unspecified,locked
eligibility_enrichment,入组富集,Eligibility enrichment,人群,boolean,false,关闭,False,关闭（锁定）,readonly,not_ready,locked,critical,5,Step16X,yes,trial.eligibility_enrichment,未确认稳定获益富集亚组，MVP中不开放。,Locked,locked
custom_subgroup_search,自定义亚组搜索,Custom subgroup search,人群,boolean,false,关闭,False,关闭（锁定）,readonly,not_ready,locked,critical,5,Step16X guardrail,yes,trial.custom_subgroup_search,反复搜索亚组可能导致数据驱动偏倚。,Blocked sponsor-facing,locked
co_primary_recommendation,共同主要终点建议,Co-primary recommendation,终点,boolean,false,否,False,否（警示）,readonly,warning,warning_locked,high,5,Step17A,yes,endpoint.co_primary_endpoint,共同主要终点仅作为严格敏感性分析。,Not recommended default,locked
bayesian_success_threshold,贝叶斯成功阈值,Bayesian success threshold,贝叶斯,number,0.975,0.975,0.975,0.975（锁定）,readonly,not_ready,locked,critical,5,Step17B sensitivity,yes,success_criterion.bayesian_threshold,阈值和先验尚未由方案/SAP确认。,Advanced sensitivity,locked
center_adjustment_model,中心效应调整模型,Center adjustment model,统计分析,enum,excluded_sparse|fixed|random,稀疏时排除、固定效应、随机效应,excluded_sparse,稀疏时排除（警示）,select,warning,warning,high,4,Step17B,yes,success_criterion.center_adjustment,中心较稀疏，具体处理需在SAP中预先规定。,Sparse centers,advanced
